origin,destination,outcome
louisville,north-carolina-at,win
louisville,colorado-state,win
north-carolina-at,louisville,loss
colorado-state,missouri,win
oregon,oklahoma-state,win
saint-louis,new-mexico-state,win
memphis,saint-marys-ca,win
michigan-state,valparaiso,win
creighton,cincinnati,win
cincinnati,creighton,win
duke,albany-ny,win
albany-ny,duke,loss
